name,latency,throughput(cpi)
vssrlrni_du_q,3.00,0.33
vssrlrni_h_w,4.00,0.25
vssrlrni_hu_w,4.00,0.25
vssrlrni_w_d,4.00,0.25
vssrlrni_wu_d,4.00,0.25
vssub_b,1.00,4.00
vssub_bu,1.00,4.00
vssub_d,1.00,4.00
vssub_du,1.00,3.99
vssub_h,1.00,4.00
vssub_hu,1.00,4.00
vssub_w,1.00,4.00
vssub_wu,1.00,4.00
vsub_b,1.00,4.00
vsub_d,1.00,4.00
vsub_h,1.00,4.00
vsub_q,3.00,2.00
vsub_w,1.00,4.00
vsubi_bu,0.25/1.00,4.00
vsubi_du,0.25/1.00,4.00
vsubi_hu,0.25/1.00,4.00
vsubi_wu,0.25/1.00,4.00
vsubwev_d_w,2.00,2.00
vsubwev_d_wu,2.00,2.00
vsubwev_h_b,2.00,2.00
vsubwev_h_bu,2.00,2.00
vsubwev_q_d,3.00,2.00
vsubwev_q_du,3.00,2.00
vsubwev_w_h,2.00,2.00
vsubwev_w_hu,2.00,2.00
vsubwod_d_w,2.00,2.00
vsubwod_d_wu,2.00,2.00
vsubwod_h_b,2.00,2.00
vsubwod_h_bu,2.00,2.00
vsubwod_q_d,3.00,2.00
vsubwod_q_du,3.00,2.00
vsubwod_w_h,2.00,2.00
vsubwod_w_hu,2.00,2.00
vxor_v,1.00,4.00
vxori_b,0.25/1.00,4.00
xvabsd_b,2.00,2.00
xvabsd_bu,2.00,2.00
xvabsd_d,2.00,2.00
xvabsd_du,2.00,2.00
xvabsd_h,2.00,2.00
xvabsd_hu,2.00,2.00
xvabsd_w,2.00,2.00
xvabsd_wu,2.00,2.00
xvadd_b,1.00,4.00
xvadd_d,1.00,4.00
xvadd_h,1.00,4.00
xvadd_q,3.00,2.00
xvadd_w,1.00,4.00
xvadda_b,3.00,2.00
xvadda_d,3.00,2.00
xvadda_h,3.00,2.00
xvadda_w,3.00,2.00
xvaddi_bu,0.25/1.00,3.97
xvaddi_du,0.25/1.00,3.97
xvaddi_hu,0.25/1.00,3.94
xvaddi_wu,0.26/1.00,3.97
xvaddwev_d_w,2.00,2.00
xvaddwev_d_wu,2.00,2.00
xvaddwev_d_wu_w,2.00,2.00
xvaddwev_h_b,2.00,2.00
xvaddwev_h_bu,2.00,2.00
xvaddwev_h_bu_b,2.00,2.00
xvaddwev_q_d,3.00,2.00
xvaddwev_q_du,3.00,2.00
xvaddwev_q_du_d,3.00,2.00
xvaddwev_w_h,2.00,2.00
xvaddwev_w_hu,2.00,2.00
xvaddwev_w_hu_h,2.00,2.00
xvaddwod_d_w,2.00,2.00
xvaddwod_d_wu,2.00,2.00
xvaddwod_d_wu_w,2.00,2.00
xvaddwod_h_b,2.00,2.00
xvaddwod_h_bu,2.00,2.00
xvaddwod_h_bu_b,2.00,2.00
xvaddwod_q_d,3.00,2.00
xvaddwod_q_du,3.00,2.00
xvaddwod_q_du_d,3.00,2.00
xvaddwod_w_h,2.00,2.00
xvaddwod_w_hu,2.00,2.00
xvaddwod_w_hu_h,2.00,2.00
xvand_v,1.00,4.00
xvandi_b,0.25/1.00,4.00
xvandn_v,1.00,4.00
xvavg_b,1.00,4.00
xvavg_bu,1.00,4.00
xvavg_d,2.00,4.00
xvavg_du,2.00,4.00
xvavg_h,1.00,4.00
xvavg_hu,1.00,4.00
xvavg_w,1.00,4.00
xvavg_wu,1.00,3.99
xvavgr_b,1.00,4.00
xvavgr_bu,1.00,4.00
